Question,Answer
"What is the tallest mountain in the world?","Mount Everest"
"Who discovered penicillin?","Alexander Fleming"
"What year did the Titanic sink?","1912"
"How many continents are there?","7"
"Who invented the telephone?","Alexander Graham Bell"
"What is the currency of Japan?","Yen"
"What planet is known as the Red Planet?","Mars"
"How many players are on a soccer team?","11"
"What does CPU stand for?","Central Processing Unit"
"What is the hardest natural substance?","Diamond"
"How many legs does a spider have?","8"
"Who is the current president of the moon?","No one – it's not a country!"
"What color do you get when you mix red and blue?","Purple"
"Can a penguin fly?","No"
"What is the national animal of Canada?","Beaver"
"What comes after Monday?","Tuesday"
"What does LOL stand for?","Laugh Out Loud"
"What do bees make?","Honey"
"What is 10 divided by 2?","5"
"What is the opposite of 'hot'?","Cold"
"Is water wet?","Debatable, but yes"
"Why did the chicken cross the road?","To get to the other side"
"What's 2 + 2 * 2?","6"
"What sound does a cat make?","Meow"
"Who is Batman’s sidekick?","Robin"
"Who is Asutosh?","Good boy and handsome 😎"

